vul_id	cve_id	github_reviewed	name	ecosystem	purl	repo	ranges_introduced	ranges_fixed	ranges_last_affected	versions
GO-2022-1014	CVE-2022-2995	False	github.com/cri-o/cri-o	Go	pkg:golang/github.com/cri-o/cri-o	SEMVER	0	1.25.0	None_last_affected	[]
GO-2025-3612	CVE-2025-30206	False	github.com/donknap/dpanel	Go	pkg:golang/github.com/donknap/dpanel	SEMVER	0	1.6.1	None_last_affected	[]
GHSA-hcr5-wv4p-h2g2	CVE-2025-24884	True	github.com/RichardoC/kube-audit-rest	Go	pkg:golang/github.com/RichardoC/kube-audit-rest	SEMVER	0	0.0.0-20250205113217-9df8886b4819	None_last_affected	[]
GHSA-66x3-6cw3-v5gj	CVE-2022-29173	True	github.com/theupdateframework/go-tuf	Go	pkg:golang/github.com/theupdateframework/go-tuf	SEMVER	0	0.3.0	None_last_affected	[]
GHSA-vq94-9pfv-ccqr	CVE-2024-45387	True	github.com/apache/trafficcontrol/v8	Go	pkg:golang/github.com/apache/trafficcontrol/v8	SEMVER	8.0.0	8.0.2	None_last_affected	[]
GHSA-j7qp-mfxf-8xjw	CVE-2022-23492	True	github.com/libp2p/go-libp2p	Go	pkg:golang/github.com/libp2p/go-libp2p	SEMVER	0	0.18.0	None_last_affected	[]
GO-2020-0027	CVE-2018-6558	False	github.com/google/fscrypt	Go	pkg:golang/github.com/google/fscrypt	SEMVER	0	0.2.4	None_last_affected	[]
GO-2022-0310	CVE-2021-45327	False	code.gitea.io/gitea	Go	pkg:golang/code.gitea.io/gitea	SEMVER	0	1.11.2	None_last_affected	[]
GHSA-9m95-8hx6-7p9v	CVE-2021-29136	True	github.com/opencontainers/umoci	Go	pkg:golang/github.com/opencontainers/umoci	SEMVER	0	0.4.7	None_last_affected	[]
GHSA-4999-659w-mq36	CVE-2021-41266	True	github.com/minio/console	Go	pkg:golang/github.com/minio/console	SEMVER	0	0.12.3	None_last_affected	[]
GO-2024-3065	CVE-2024-41888	False	github.com/apache/incubator-answer	Go	pkg:golang/github.com/apache/incubator-answer	SEMVER	0	1.3.6	None_last_affected	[]
GO-2022-1151	CVE-2022-4122	False	github.com/containers/podman	Go	pkg:golang/github.com/containers/podman	SEMVER	0	None_fixed	None_last_affected	[]
GO-2022-1151	CVE-2022-4122	False	github.com/containers/podman/v2	Go	pkg:golang/github.com/containers/podman/v2	SEMVER	0	None_fixed	None_last_affected	[]
GO-2022-1151	CVE-2022-4122	False	github.com/containers/podman/v3	Go	pkg:golang/github.com/containers/podman/v3	SEMVER	0	None_fixed	None_last_affected	[]
GO-2022-1151	CVE-2022-4122	False	github.com/containers/podman/v4	Go	pkg:golang/github.com/containers/podman/v4	SEMVER	0	4.5.0	None_last_affected	[]
GO-2023-1819	CVE-2023-34091	False	github.com/kyverno/kyverno	Go	pkg:golang/github.com/kyverno/kyverno	SEMVER	0	1.10.0	None_last_affected	[]
GO-2022-0193	CVE-2018-17143	False	golang.org/x/net	Go	pkg:golang/golang.org/x/net	SEMVER	0	0.0.0-20180921000356-2f5d2388922f	None_last_affected	[]
GHSA-3f65-m234-9mxr	CVE-2024-35232	True	github.com/huandu/facebook/v2	Go	pkg:golang/github.com/huandu/facebook/v2	SEMVER	0	2.7.2	None_last_affected	[]
GHSA-hh54-53m7-7ffj	CVE-2023-33498	True	github.com/alist-org/alist/v3	Go	pkg:golang/github.com/alist-org/alist/v3	SEMVER	0	None_fixed	3.16.3	[]
GHSA-hh54-53m7-7ffj	CVE-2023-33498	True	github.com/alist-org/alist/v3	Go	pkg:golang/github.com/alist-org/alist/v3	SEMVER	None_introduced	None_fixed	None_last_affected	[]
GO-2022-0890	CVE-2020-8555	False	k8s.io/kubernetes	Go	pkg:golang/k8s.io/kubernetes	SEMVER	0	1.15.12	None_last_affected	[]
GHSA-v9j4-cp63-qv62	CVE-2021-38197	True	github.com/gen2brain/go-unarr	Go	pkg:golang/github.com/gen2brain/go-unarr	SEMVER	0	0.1.4	None_last_affected	[]
GO-2025-3491	CVE-2025-23388	False	github.com/rancher/rancher	Go	pkg:golang/github.com/rancher/rancher	SEMVER	0	None_fixed	None_last_affected	[]
GHSA-2xx4-jj5v-6mff	CVE-2023-37896	True	github.com/projectdiscovery/nuclei/v2	Go	pkg:golang/github.com/projectdiscovery/nuclei/v2	SEMVER	0	2.9.9	None_last_affected	[]
GHSA-2xx4-jj5v-6mff	CVE-2023-37896	True	github.com/projectdiscovery/nuclei	Go	pkg:golang/github.com/projectdiscovery/nuclei	SEMVER	0	2.9.9	None_last_affected	[]
GHSA-55r9-5mx9-qq7r	CVE-2024-39897	True	zotregistry.io/zot	Go	pkg:golang/zotregistry.io/zot	SEMVER	0	2.1.0	None_last_affected	[]
GHSA-55r9-5mx9-qq7r	CVE-2024-39897	True	zotregistry.dev/zot	Go	pkg:golang/zotregistry.dev/zot	SEMVER	0	2.1.0	None_last_affected	[]
GO-2021-0083	CVE-2019-12496	False	github.com/hybridgroup/gobot	Go	pkg:golang/github.com/hybridgroup/gobot	SEMVER	0	1.12.1-0.20190521122906-c1aa4f867846	None_last_affected	[]
GHSA-5jx5-hqx5-2vrj	CVE-2024-28224	True	github.com/ollama/ollama	Go	pkg:golang/github.com/ollama/ollama	SEMVER	0	0.1.29	None_last_affected	[]
GO-2024-2766	CVE-2020-14370	False	github.com/containers/libpod	Go	pkg:golang/github.com/containers/libpod	SEMVER	0	None_fixed	None_last_affected	[]
GO-2024-2766	CVE-2020-14370	False	github.com/containers/libpod/v2	Go	pkg:golang/github.com/containers/libpod/v2	SEMVER	0	2.0.5	None_last_affected	[]
GO-2025-3645	CVE-2019-11243	False	k8s.io/kubernetes	Go	pkg:golang/k8s.io/kubernetes	SEMVER	1.12.0	1.12.5	None_last_affected	[]
GO-2022-1043	CVE-2022-39273	False	github.com/flyteorg/flyteadmin	Go	pkg:golang/github.com/flyteorg/flyteadmin	SEMVER	1.0.0	1.1.44	None_last_affected	[]
GO-2022-1106	CVE-2022-3867	False	github.com/hashicorp/nomad	Go	pkg:golang/github.com/hashicorp/nomad	SEMVER	1.4.0	1.4.2	None_last_affected	[]
GO-2024-3032	CVE-2024-39837	False	github.com/mattermost/mattermost-server	Go	pkg:golang/github.com/mattermost/mattermost-server	SEMVER	9.5.0+incompatible	9.5.7+incompatible	None_last_affected	[]
GO-2024-3032	CVE-2024-39837	False	github.com/mattermost/mattermost-server/v5	Go	pkg:golang/github.com/mattermost/mattermost-server/v5	SEMVER	0	None_fixed	None_last_affected	[]
GO-2024-3032	CVE-2024-39837	False	github.com/mattermost/mattermost-server/v6	Go	pkg:golang/github.com/mattermost/mattermost-server/v6	SEMVER	0	None_fixed	None_last_affected	[]
