vul_id	cve_id	github_reviewed	name	ecosystem	purl	repo	ranges_introduced	ranges_fixed	ranges_last_affected	versions
GO-2024-2731		False	github.com/evmos/evmos	Go	pkg:golang/github.com/evmos/evmos	SEMVER	0	None_fixed	None_last_affected	[]
GO-2024-2731		False	github.com/evmos/evmos/v2	Go	pkg:golang/github.com/evmos/evmos/v2	SEMVER	0	None_fixed	None_last_affected	[]
GO-2024-2731		False	github.com/evmos/evmos/v3	Go	pkg:golang/github.com/evmos/evmos/v3	SEMVER	0	None_fixed	None_last_affected	[]
GO-2024-2731		False	github.com/evmos/evmos/v4	Go	pkg:golang/github.com/evmos/evmos/v4	SEMVER	0	None_fixed	None_last_affected	[]
GO-2024-2731		False	github.com/evmos/evmos/v5	Go	pkg:golang/github.com/evmos/evmos/v5	SEMVER	0	None_fixed	None_last_affected	[]
GO-2024-2731		False	github.com/evmos/evmos/v6	Go	pkg:golang/github.com/evmos/evmos/v6	SEMVER	0	None_fixed	None_last_affected	[]
GO-2024-2731		False	github.com/evmos/evmos/v7	Go	pkg:golang/github.com/evmos/evmos/v7	SEMVER	0	None_fixed	None_last_affected	[]
GO-2024-2731		False	github.com/evmos/evmos/v8	Go	pkg:golang/github.com/evmos/evmos/v8	SEMVER	0	None_fixed	None_last_affected	[]
GO-2024-2731		False	github.com/evmos/evmos/v9	Go	pkg:golang/github.com/evmos/evmos/v9	SEMVER	0	None_fixed	None_last_affected	[]
GO-2024-2731		False	github.com/evmos/evmos/v10	Go	pkg:golang/github.com/evmos/evmos/v10	SEMVER	0	None_fixed	None_last_affected	[]
GO-2024-2731		False	github.com/evmos/evmos/v11	Go	pkg:golang/github.com/evmos/evmos/v11	SEMVER	0	None_fixed	None_last_affected	[]
GO-2024-2731		False	github.com/evmos/evmos/v12	Go	pkg:golang/github.com/evmos/evmos/v12	SEMVER	0	None_fixed	None_last_affected	[]
GO-2024-2731		False	github.com/evmos/evmos/v13	Go	pkg:golang/github.com/evmos/evmos/v13	SEMVER	0	None_fixed	None_last_affected	[]
GHSA-85rg-8m6h-825p		True	github.com/k8sgpt-ai/k8sgpt	Go	pkg:golang/github.com/k8sgpt-ai/k8sgpt	SEMVER	0	0.3.33	None_last_affected	[]
GHSA-mx2j-7cmv-353c		True	github.com/CosmWasm/wasmvm	Go	pkg:golang/github.com/CosmWasm/wasmvm	SEMVER	0	1.5.8	None_last_affected	[]
GHSA-mx2j-7cmv-353c		True	github.com/CosmWasm/wasmvm/v2	Go	pkg:golang/github.com/CosmWasm/wasmvm/v2	SEMVER	2.2.0	2.2.2	None_last_affected	[]
GHSA-mx2j-7cmv-353c		True	github.com/CosmWasm/wasmvm/v2	Go	pkg:golang/github.com/CosmWasm/wasmvm/v2	SEMVER	2.1.0	2.1.5	None_last_affected	[]
GHSA-mx2j-7cmv-353c		True	github.com/CosmWasm/wasmvm/v2	Go	pkg:golang/github.com/CosmWasm/wasmvm/v2	SEMVER	2.0.0	2.0.6	None_last_affected	[]
GO-2023-1622		False	github.com/edgelesssys/constellation	Go	pkg:golang/github.com/edgelesssys/constellation	SEMVER	0	None_fixed	None_last_affected	[]
GO-2023-1622		False	github.com/edgelesssys/constellation/v2	Go	pkg:golang/github.com/edgelesssys/constellation/v2	SEMVER	0	2.6.0	None_last_affected	[]
GHSA-2j6r-9vv4-6gf5		True	github.com/bincyber/go-sqlcrypter	Go	pkg:golang/github.com/bincyber/go-sqlcrypter	SEMVER	0.1.0	None_fixed	0.2.0	[]
GHSA-2j6r-9vv4-6gf5		True	github.com/bincyber/go-sqlcrypter	Go	pkg:golang/github.com/bincyber/go-sqlcrypter	SEMVER	None_introduced	None_fixed	None_last_affected	[]
GO-2024-2727		False	github.com/edgelesssys/constellation	Go	pkg:golang/github.com/edgelesssys/constellation	SEMVER	0	None_fixed	None_last_affected	[]
GO-2024-2727		False	github.com/edgelesssys/constellation/v2	Go	pkg:golang/github.com/edgelesssys/constellation/v2	SEMVER	0	2.16.3	None_last_affected	[]
