vul_id	cve_id	github_reviewed	name	ecosystem	purl	repo	ranges_introduced	ranges_fixed	ranges_last_affected	versions
MAL-2023-7791		False	urlpep	PyPI	pkg:pypi/urlpep	ECOSYSTEM	0	None_fixed	None_last_affected	[]
MAL-2023-2069		False	pyinnstaller	PyPI	pkg:pypi/pyinnstaller	ECOSYSTEM	0	None_fixed	None_last_affected	[]
MAL-2023-6883		False	toolmask	PyPI	pkg:pypi/toolmask	ECOSYSTEM	0	None_fixed	None_last_affected	[]
MAL-2023-5256		False	py-killhackedpep	PyPI	pkg:pypi/py-killhackedpep	ECOSYSTEM	0	None_fixed	None_last_affected	[]
MAL-2023-2593		False	controltool	PyPI	pkg:pypi/controltool	ECOSYSTEM	0	None_fixed	None_last_affected	[]
MAL-2023-2439		False	xlsxwwriter	PyPI	pkg:pypi/xlsxwwriter	ECOSYSTEM	0	None_fixed	None_last_affected	[]
MAL-2023-5606		False	py-replacerandom	PyPI	pkg:pypi/py-replacerandom	ECOSYSTEM	0	None_fixed	None_last_affected	[]
MAL-2023-6929		False	tpcandypong	PyPI	pkg:pypi/tpcandypong	ECOSYSTEM	0	None_fixed	None_last_affected	[]
MAL-2023-4914		False	postmine	PyPI	pkg:pypi/postmine	ECOSYSTEM	0	None_fixed	None_last_affected	[]
MAL-2023-6180		False	selfhydrahydrasplit	PyPI	pkg:pypi/selfhydrahydrasplit	ECOSYSTEM	0	None_fixed	None_last_affected	[]
MAL-2023-3678		False	guied	PyPI	pkg:pypi/guied	ECOSYSTEM	0	None_fixed	None_last_affected	[]
MAL-2023-1645		False	beuatifulsoup	PyPI	pkg:pypi/beuatifulsoup	ECOSYSTEM	0	None_fixed	None_last_affected	[]
MAL-2023-3382		False	esqrepyw	PyPI	pkg:pypi/esqrepyw	ECOSYSTEM	0	None_fixed	None_last_affected	[]
MAL-2023-4447		False	librandloadmine	PyPI	pkg:pypi/librandloadmine	ECOSYSTEM	0	None_fixed	None_last_affected	[]
MAL-2023-3228		False	esqposthackedver	PyPI	pkg:pypi/esqposthackedver	ECOSYSTEM	0	None_fixed	None_last_affected	[]
MAL-2023-4017		False	libgrandint	PyPI	pkg:pypi/libgrandint	ECOSYSTEM	0	None_fixed	None_last_affected	[]
MAL-2023-4502		False	libsplitvirtualload	PyPI	pkg:pypi/libsplitvirtualload	ECOSYSTEM	0	None_fixed	None_last_affected	[]
PYSEC-2018-137		False	exiv2	PyPI	pkg:pypi/exiv2	ECOSYSTEM	0	None_fixed	None_last_affected	['0.1', '0.11.0', '0.11.1', '0.11.2', '0.11.3', '0.12.0', '0.12.1', '0.13.0', '0.13.1', '0.13.2', '0.14.0', '0.14.1', '0.15.0', '0.16.0', '0.16.1', '0.16.2', '0.16.2.post1', '0.16.3', '0.16.3.post1', '0.17.0', '0.17.1', '0.2', '0.3', '0.3.1']
MAL-2023-1700		False	crpytocompare	PyPI	pkg:pypi/crpytocompare	ECOSYSTEM	0	None_fixed	None_last_affected	[]
MAL-2023-4152		False	libkillvmcraft	PyPI	pkg:pypi/libkillvmcraft	ECOSYSTEM	0	None_fixed	None_last_affected	[]
MAL-2023-3697		False	guirandom	PyPI	pkg:pypi/guirandom	ECOSYSTEM	0	None_fixed	None_last_affected	[]
MAL-2023-2985		False	esqinfoproofvm	PyPI	pkg:pypi/esqinfoproofvm	ECOSYSTEM	0	None_fixed	None_last_affected	[]
MAL-2023-6495		False	selfproofpullsplit	PyPI	pkg:pypi/selfproofpullsplit	ECOSYSTEM	0	None_fixed	None_last_affected	[]
MAL-2023-5313		False	py-loadstudynvidia	PyPI	pkg:pypi/py-loadstudynvidia	ECOSYSTEM	0	None_fixed	None_last_affected	[]
MAL-2023-2086		False	pyocdestyle	PyPI	pkg:pypi/pyocdestyle	ECOSYSTEM	0	None_fixed	None_last_affected	[]
MAL-2023-5743		False	py-verurl	PyPI	pkg:pypi/py-verurl	ECOSYSTEM	0	None_fixed	None_last_affected	[]
MAL-2023-4851		False	pingkill	PyPI	pkg:pypi/pingkill	ECOSYSTEM	0	None_fixed	None_last_affected	[]
MAL-2023-7284		False	tpminepostcpu	PyPI	pkg:pypi/tpminepostcpu	ECOSYSTEM	0	None_fixed	None_last_affected	[]
MAL-2023-1583		False	amtplotlib	PyPI	pkg:pypi/amtplotlib	ECOSYSTEM	0	None_fixed	None_last_affected	[]
MAL-2023-6246		False	selfkillhydraping	PyPI	pkg:pypi/selfkillhydraping	ECOSYSTEM	0	None_fixed	None_last_affected	[]
PYSEC-2022-43107		False	democritus-hypothesis	PyPI	pkg:pypi/democritus-hypothesis	ECOSYSTEM	0	None_fixed	None_last_affected	['2021.1.21', '2021.1.21b0']
MAL-2023-5893		False	randomvisa	PyPI	pkg:pypi/randomvisa	ECOSYSTEM	0	None_fixed	None_last_affected	[]
MAL-2023-4781		False	minesuper	PyPI	pkg:pypi/minesuper	ECOSYSTEM	0	None_fixed	None_last_affected	[]
MAL-2023-3044		False	esqlgtbstudyram	PyPI	pkg:pypi/esqlgtbstudyram	ECOSYSTEM	0	None_fixed	None_last_affected	[]
PYSEC-2022-251		False	spam	PyPI	pkg:pypi/spam	ECOSYSTEM	2.0.2	None_fixed	None_last_affected	['2.0.2', '4.0.2']
MAL-2023-5939		False	selfadlibproof	PyPI	pkg:pypi/selfadlibproof	ECOSYSTEM	0	None_fixed	None_last_affected	[]
MAL-2023-6616		False	selfrestr	PyPI	pkg:pypi/selfrestr	ECOSYSTEM	0	None_fixed	None_last_affected	[]
MAL-2023-3414		False	esqstringgetlgtb	PyPI	pkg:pypi/esqstringgetlgtb	ECOSYSTEM	0	None_fixed	None_last_affected	[]
MAL-2023-7457		False	tppygetrandom	PyPI	pkg:pypi/tppygetrandom	ECOSYSTEM	0	None_fixed	None_last_affected	[]
MAL-2023-3947		False	libcraftreplaceencode	PyPI	pkg:pypi/libcraftreplaceencode	ECOSYSTEM	0	None_fixed	None_last_affected	[]
MAL-2023-2655		False	craftreplace	PyPI	pkg:pypi/craftreplace	ECOSYSTEM	0	None_fixed	None_last_affected	[]
MAL-2023-5190		False	py-httpvisagui	PyPI	pkg:pypi/py-httpvisagui	ECOSYSTEM	0	None_fixed	None_last_affected	[]
MAL-2023-7007		False	tpedstringad	PyPI	pkg:pypi/tpedstringad	ECOSYSTEM	0	None_fixed	None_last_affected	[]
MAL-2023-2205		False	scikiit-learn	PyPI	pkg:pypi/scikiit-learn	ECOSYSTEM	0	None_fixed	None_last_affected	[]
MAL-2023-3802		False	infopyw	PyPI	pkg:pypi/infopyw	ECOSYSTEM	0	None_fixed	None_last_affected	[]
MAL-2023-2710		False	encodelgtb	PyPI	pkg:pypi/encodelgtb	ECOSYSTEM	0	None_fixed	None_last_affected	[]
MAL-2023-7512		False	tpramvirtual	PyPI	pkg:pypi/tpramvirtual	ECOSYSTEM	0	None_fixed	None_last_affected	[]
