vul_id	cve_id	github_reviewed	name	ecosystem	purl	repo	ranges_introduced	ranges_fixed	ranges_last_affected	versions
GHSA-p6j9-7xhc-rhwp	CVE-2021-27516	True	urijs	npm	pkg:npm/urijs	SEMVER	0	1.19.6	None_last_affected	[]
GHSA-x92g-49gh-63qm	CVE-2022-3225	True	@budibase/worker	npm	pkg:npm/%40budibase/worker	SEMVER	0	1.3.20	None_last_affected	[]
GHSA-x92g-49gh-63qm	CVE-2022-3225	True	@budibase/builder	npm	pkg:npm/%40budibase/builder	SEMVER	0	1.3.20	None_last_affected	[]
GHSA-x92g-49gh-63qm	CVE-2022-3225	True	@budibase/bbui	npm	pkg:npm/%40budibase/bbui	SEMVER	0	1.3.20	None_last_affected	[]
GHSA-vpch-rxw3-fgx8	CVE-2018-1000160	True	@risingstack/protect	npm	pkg:npm/%40risingstack/protect	SEMVER	0	None_fixed	1.2.0	[]
GHSA-vpch-rxw3-fgx8	CVE-2018-1000160	True	@risingstack/protect	npm	pkg:npm/%40risingstack/protect	SEMVER	None_introduced	None_fixed	None_last_affected	[]
GHSA-4mvj-rq4v-2fxw	CVE-2021-23452	True	x-assign	npm	pkg:npm/x-assign	SEMVER	0	None_fixed	0.1.4	[]
GHSA-4mvj-rq4v-2fxw	CVE-2021-23452	True	x-assign	npm	pkg:npm/x-assign	SEMVER	None_introduced	None_fixed	None_last_affected	[]
GHSA-mf22-92pm-m8p8	CVE-2022-24709	True	@awsui/components-react	npm	pkg:npm/%40awsui/components-react	SEMVER	0	3.0.367	None_last_affected	[]
GHSA-4x5j-v9v9-w8gw	CVE-2016-10614	True	httpsync	npm	pkg:npm/httpsync	SEMVER	0	None_fixed	0.0.8	[]
GHSA-4x5j-v9v9-w8gw	CVE-2016-10614	True	httpsync	npm	pkg:npm/httpsync	SEMVER	None_introduced	None_fixed	None_last_affected	[]
GHSA-jhq3-57xh-6643	CVE-2018-3783	True	flintcms	npm	pkg:npm/flintcms	SEMVER	0	1.1.10	None_last_affected	[]
GHSA-q6pj-jh94-5fpr	CVE-2020-7606	True	docker-compose-remote-api	npm	pkg:npm/docker-compose-remote-api	SEMVER	0	None_fixed	0.1.4	[]
