vul_id	cve_id	github_reviewed	name	ecosystem	purl	repo	ranges_introduced	ranges_fixed	ranges_last_affected	versions
MAL-2022-5134		False	oss-contribution-tracker	npm	pkg:npm/oss-contribution-tracker	SEMVER	0	None_fixed	None_last_affected	[]
MAL-2022-7109		False	wechat-base	npm	pkg:npm/wechat-base	SEMVER	0	None_fixed	None_last_affected	[]
MAL-2024-11003		False	seller-base.environment	npm	pkg:npm/seller-base.environment	SEMVER	0	None_fixed	None_last_affected	['0.0.0', '6.5.8']
MAL-2023-8464		False	share-client	npm	pkg:npm/share-client	SEMVER	0	None_fixed	None_last_affected	[]
MAL-2022-759		False	@xvideos/core	npm	pkg:npm/%40xvideos/core	SEMVER	0	None_fixed	None_last_affected	[]
MAL-2025-2160		False	aave-v3-crosschain-listing-template	npm	pkg:npm/aave-v3-crosschain-listing-template	SEMVER	0	None_fixed	None_last_affected	[]
MAL-2022-5564		False	quewynstring	npm	pkg:npm/quewynstring	SEMVER	0	None_fixed	None_last_affected	[]
MAL-2023-8034		False	pear_vile	npm	pkg:npm/pear_vile	SEMVER	0	None_fixed	None_last_affected	['1.999.1']
MAL-2022-309		False	@harrysforge/checkbox	npm	pkg:npm/%40harrysforge/checkbox	SEMVER	0	None_fixed	None_last_affected	[]
MAL-2025-2530		False	task_process	npm	pkg:npm/task_process	SEMVER	0	None_fixed	None_last_affected	[]
MAL-2024-7450		False	icnes	npm	pkg:npm/icnes	SEMVER	0	None_fixed	None_last_affected	['8.0.0']
MAL-2024-908		False	wlwz-2312-8109	npm	pkg:npm/wlwz-2312-8109	SEMVER	0	None_fixed	None_last_affected	[]
MAL-2022-3849		False	insights-explorer	npm	pkg:npm/insights-explorer	SEMVER	0	None_fixed	None_last_affected	[]
MAL-2022-1874		False	chainlink-api-client	npm	pkg:npm/chainlink-api-client	SEMVER	0	None_fixed	None_last_affected	[]
MAL-2023-759		False	sandbox-library	npm	pkg:npm/sandbox-library	SEMVER	0	None_fixed	None_last_affected	[]
MAL-2022-6718		False	typescript3	npm	pkg:npm/typescript3	SEMVER	0	None_fixed	None_last_affected	[]
MAL-2022-4725		False	msbuild-sdks	npm	pkg:npm/msbuild-sdks	SEMVER	0	None_fixed	None_last_affected	[]
MAL-2022-5837		False	rollup-plugin-lnode-desolve	npm	pkg:npm/rollup-plugin-lnode-desolve	SEMVER	0	None_fixed	None_last_affected	[]
MAL-2024-11900		False	alifx-media-downloader	npm	pkg:npm/alifx-media-downloader	SEMVER	0	None_fixed	None_last_affected	[]
MAL-2024-10612		False	chanlink	npm	pkg:npm/chanlink	SEMVER	0	None_fixed	None_last_affected	[]
GHSA-9v62-24cr-58cx		True	node-sass	npm	pkg:npm/node-sass	SEMVER	3.3.0	4.13.1	None_last_affected	[]
MAL-2025-3771		False	rei-breakpoint-detector	npm	pkg:npm/rei-breakpoint-detector	SEMVER	0	None_fixed	None_last_affected	[]
MAL-2022-1527		False	bfx-facs-http	npm	pkg:npm/bfx-facs-http	SEMVER	0	None_fixed	None_last_affected	[]
MAL-2023-309		False	epic-diesel	npm	pkg:npm/epic-diesel	SEMVER	0	None_fixed	None_last_affected	[]
MAL-2022-6348		False	suhallowexqual	npm	pkg:npm/suhallowexqual	SEMVER	0	None_fixed	None_last_affected	[]
MAL-2022-4375		False	lodslhdomit	npm	pkg:npm/lodslhdomit	SEMVER	0	None_fixed	None_last_affected	[]
MAL-2024-10242		False	buildkit-discourse-integration	npm	pkg:npm/buildkit-discourse-integration	SEMVER	0	None_fixed	None_last_affected	['1.0.1']
MAL-2024-1584		False	portfolio-organism-adp-wrapper	npm	pkg:npm/portfolio-organism-adp-wrapper	SEMVER	0	None_fixed	None_last_affected	['1.0.0']
MAL-2022-1177		False	authinit	npm	pkg:npm/authinit	SEMVER	0	None_fixed	None_last_affected	[]
MAL-2024-7846		False	dagster-docs	npm	pkg:npm/dagster-docs	SEMVER	0	None_fixed	None_last_affected	[]
MAL-2024-1091		False	udp-components	npm	pkg:npm/udp-components	SEMVER	0	None_fixed	None_last_affected	['0.0.1', '1.0.0']
MAL-2025-1609		False	mep-ul-utils	npm	pkg:npm/mep-ul-utils	SEMVER	0	None_fixed	None_last_affected	[]
MAL-2025-3634		False	lucide-node	npm	pkg:npm/lucide-node	SEMVER	0	None_fixed	None_last_affected	[]
MAL-2022-1462		False	barnbridge-dao	npm	pkg:npm/barnbridge-dao	SEMVER	0	None_fixed	None_last_affected	[]
MAL-2022-4660		False	model-flattening	npm	pkg:npm/model-flattening	SEMVER	0	None_fixed	None_last_affected	[]
MAL-2022-1198		False	aws-instance-scheduler	npm	pkg:npm/aws-instance-scheduler	SEMVER	0	None_fixed	None_last_affected	[]
MAL-2022-5972		False	scrypt-shim	npm	pkg:npm/scrypt-shim	SEMVER	0	None_fixed	None_last_affected	[]
MAL-2024-11845		False	ml-interactive-data-augmentation	npm	pkg:npm/ml-interactive-data-augmentation	SEMVER	0	None_fixed	None_last_affected	['1.0.0']
MAL-2024-10757		False	markservice	npm	pkg:npm/markservice	SEMVER	0	None_fixed	None_last_affected	['6.5.8']
MAL-2025-1259		False	slack-azure-notifier	npm	pkg:npm/slack-azure-notifier	SEMVER	0	None_fixed	None_last_affected	['1.0.0']
MAL-2025-3264		False	ton-evm-bridge	npm	pkg:npm/ton-evm-bridge	SEMVER	0	None_fixed	None_last_affected	['2.0.0']
MAL-2022-1032		False	aoxqgmortgkgldq	npm	pkg:npm/aoxqgmortgkgldq	SEMVER	0	None_fixed	None_last_affected	[]
GHSA-36rh-ggpr-j3gj		True	renovate	npm	pkg:npm/renovate	SEMVER	19.180.0	23.25.1	None_last_affected	[]
MAL-2022-4230		False	ksectest123	npm	pkg:npm/ksectest123	SEMVER	0	None_fixed	None_last_affected	[]
